"slice_pos","pi_slice","id","league_id","league_name","league_abbreviation","season_id","season_name","game_id","game_slug","home_team_id","home_team_name","home_team_location","home_team_nickname","home_team_abbreviation","away_team_id","away_team_name","away_team_location","away_team_nickname","away_team_abbreviation","interval_type","inning","clock_seconds","inning_half","home_team_score","away_team_score","total_score","home_away_score_pair","away_home_score_pair","home_team_outcome","away_team_outcome","is_over","started_at","home_team_final_score","away_team_final_score","venue_name","r"
1099,"13","b49222f6-2876-4b00-aa7e-f5a0c59b0847","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","c1986558-e221-4385-8dd2-f734f1042351","mlb-2017-was-hou-2017-08-24-1910","1dbbb4a3-d8ca-42cb-829f-29551d482645","Houston","Houston","Astros","HOU","9ebc3cf3-9559-4b74-b8ad-f15f2c5eae71","Washington","Washington","Nationals","WAS","regularseason",9,30,"bottom",1,3,4,"13","31","loss","win",FALSE,"2017-08-25 05:10:00+00",4,5,"Minute Maid Park",1
1100,"82","1148c865-efde-4afa-9151-fd0f192a9b8a","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","cf6879a7-dc42-4fb8-8c57-cb34d9bd55f7","mlb-2017-tex-atl-2017-09-4-1935","e0aa8528-46d5-41a4-95fe-50f0a2e3a761","Atlanta","Atlanta","Braves","ATL","2c14a8f0-577f-490f-9186-cc3742412d1c","Texas","Texas","Rangers","TEX","regularseason",9,30,"bottom",2,8,10,"28","82","loss","win",FALSE,"2017-09-05 04:35:00+00",2,8,"SunTrust Park",1
1101,"68","f1ebbff1-b8bb-4ff5-88eb-741eff6ecf5e","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","05618100-445f-46f0-8241-f26b4c1a4f5f","mlb-2018-chc-cin-2018-06-24-1310","84e287b3-8aa1-4cb5-bcce-6a0e8ba97f91","Cincinnati","Cincinnati","Reds","CIN","fdbaa7e1-bfd6-4b94-a0b2-323884d54a11","Chi. Cubs","Chicago","Cubs","CHC","regularseason",8,30,"bottom",8,6,14,"86","68","win","loss",FALSE,"2018-06-24 22:10:00+00",8,6,"Great American Ball Park",1
1102,"68","f721f297-eb37-4f21-a89b-055b77951f24","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","307c4a32-ba14-4a8c-bc31-179e1cfc31bf","mlb-2018-min-tex-2018-08-31-1905","2c14a8f0-577f-490f-9186-cc3742412d1c","Texas","Texas","Rangers","TEX","8256c5cd-476c-4af3-8c26-059b0fd8ddcf","Minnesota","Minnesota","Twins","MIN","regularseason",6,30,"bottom",6,8,14,"68","86","loss","win",FALSE,"2018-09-01 05:05:00+00",7,10,"Globe Life Park in Arlington",1
1103,"38","a3f62a3d-7cdb-4d4e-a6ae-9bd79076622c","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","2dfda002-c612-4035-ba80-b4cb3fb6648b","mlb-2017-atl-hou-2017-05-9-1910","1dbbb4a3-d8ca-42cb-829f-29551d482645","Houston","Houston","Astros","HOU","e0aa8528-46d5-41a4-95fe-50f0a2e3a761","Atlanta","Atlanta","Braves","ATL","regularseason",8,30,"bottom",8,3,11,"83","38","win","loss",FALSE,"2017-05-10 05:10:00+00",8,3,"Minute Maid Park",1
1104,"68","c3a86a07-d59a-4b58-8534-1ede6c5fc42e","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","9a082e4a-5280-46ba-9967-4e61624239af","mlb-2018-mil-sd-2018-03-30-1910","418391e8-4725-420d-9303-bd1736c59d7a","San Diego","San Diego","Padres","SD","d6c517b0-78de-4834-8d36-b6e63b3224ee","Milwaukee","Milwaukee","Brewers","MIL","regularseason",9,30,"bottom",6,8,14,"68","86","loss","win",FALSE,"2018-03-31 07:10:00+00",6,8,"PETCO Park",1
1105,"94","9be25a1a-4eb4-4e34-bc9d-b4755d861fc7","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","04be8592-39cd-4ca8-a663-ec1037002395","mlb-2017-cin-mil-2017-04-26-1240","d6c517b0-78de-4834-8d36-b6e63b3224ee","Milwaukee","Milwaukee","Brewers","MIL","84e287b3-8aa1-4cb5-bcce-6a0e8ba97f91","Cincinnati","Cincinnati","Reds","CIN","regularseason",9,0,"top",9,4,13,"94","49","win","loss",FALSE,"2017-04-26 22:40:00+00",9,4,"Miller Park",1
1106,"27","71742335-4f52-4899-a4ac-7cc5b056bdff","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","f086dc0f-0883-4b32-b1f0-d9c648100f83","mlb-2018-chw-cin-2018-07-3-1910","84e287b3-8aa1-4cb5-bcce-6a0e8ba97f91","Cincinnati","Cincinnati","Reds","CIN","8572e355-63b6-440c-8cb0-8ef52144b993","Chi. White Sox","Chicago","White Sox","CHW","regularseason",5,30,"bottom",7,2,9,"72","27","loss","win",FALSE,"2018-07-04 04:10:00+00",8,12,"Great American Ball Park",1
1107,"74","909736bd-2d03-4b5f-aca8-e7225bbb93ef","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","5ae1da36-3eda-4ad2-bf05-9352803eaea8","mlb-2018-phi-was-2018-08-21-1905","9ebc3cf3-9559-4b74-b8ad-f15f2c5eae71","Washington","Washington","Nationals","WAS","94acb560-6d9c-4b89-a32c-7fb817ad7aa7","Philadelphia","Philadelphia","Phillies","PHI","regularseason",7,30,"bottom",7,4,11,"74","47","win","loss",FALSE,"2018-08-22 04:05:00+00",10,4,"Nationals Park",1
1108,"15","1a1c0aac-c274-4227-9db9-f05c463f9999","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","550af157-0424-449c-a909-932d966cb32b","mlb-2018-chw-cle-2018-05-29-1810","c5fefa38-a256-43fe-8147-008c0f8c2f15","Cleveland","Cleveland","Indians","CLE","8572e355-63b6-440c-8cb0-8ef52144b993","Chi. White Sox","Chicago","White Sox","CHW","regularseason",5,30,"bottom",5,1,6,"51","15","win","loss",FALSE,"2018-05-30 03:10:00+00",7,3,"Progressive Field",1
