"slice_pos","pi_slice","id","league_id","league_name","league_abbreviation","season_id","season_name","game_id","game_slug","home_team_id","home_team_name","home_team_location","home_team_nickname","home_team_abbreviation","away_team_id","away_team_name","away_team_location","away_team_nickname","away_team_abbreviation","interval_type","inning","clock_seconds","inning_half","home_team_score","away_team_score","total_score","home_away_score_pair","away_home_score_pair","home_team_outcome","away_team_outcome","is_over","started_at","home_team_final_score","away_team_final_score","r"
442,"42","d0e9494c-9137-47e7-b351-f6dcbedb0b40","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","20a6f8d5-2022-4b11-ae37-797f11d0a02a","mlb-2017-tor-stl-2017-04-27-1245","26345a1d-a856-48be-a53b-262367b5437e","St. Louis","St. Louis","Cardinals","STL","2863bb0d-90f6-4ae2-93ca-e89cda3255ee","Toronto","Toronto","Blue Jays","TOR","regularseason",9,0,"top",2,4,6,"24","42","win","loss",FALSE,"2017-04-27 22:45:00+00",8,4,1
443,"06","f4e43433-938c-49ff-9f69-5068552f4195","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","1ef415b8-598b-41d5-bcac-00f55c726c24","mlb-2018-nym-phi-2018-08-19-2008","94acb560-6d9c-4b89-a32c-7fb817ad7aa7","Philadelphia","Philadelphia","Phillies","PHI","fb65f6d2-6de5-4596-981b-6d9bcb5d9e7d","NY Mets","New York","Mets","NYM","regularseason",5,30,"bottom",0,6,6,"06","60","loss","win",FALSE,"2018-08-20 04:10:00+00",2,8,1
444,"17","adb26f53-398b-4b5c-b77e-94a9bc2ff3e0","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","ca4fbb24-3513-43b6-9669-d5b56c565d72","mlb-2018-phi-la-2018-05-30-1910","f53d7ed3-1ebe-4e02-979d-6e51c0f5fb18","LA Dodgers","Los Angeles","Dodgers","LA","94acb560-6d9c-4b89-a32c-7fb817ad7aa7","Philadelphia","Philadelphia","Phillies","PHI","regularseason",7,0,"top",7,1,8,"71","17","win","loss",FALSE,"2018-05-31 07:10:00+00",8,2,1
445,"17","7840d8f0-ec57-48e9-9797-01d00a819158","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","e2b9d93c-959d-4d51-9896-73b99d7a02e8","mlb-2017-sea-tex-2017-09-14-1905","2c14a8f0-577f-490f-9186-cc3742412d1c","Texas","Texas","Rangers","TEX","eeb2db44-7894-483e-a9a7-373fb80d8e91","Seattle","Seattle","Mariners","SEA","regularseason",6,0,"top",1,7,8,"17","71","loss","win",FALSE,"2017-09-15 05:05:00+00",4,10,1
446,"76","2622a9f0-4a90-45da-8c1f-c954279f0973","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","7b168d02-2272-43ce-8551-8218d864d4fd","mlb-2018-ari-chc-2018-07-26-1320","fdbaa7e1-bfd6-4b94-a0b2-323884d54a11","Chi. Cubs","Chicago","Cubs","CHC","09dc1f54-cf05-4486-8135-80bb0090fde1","Arizona","Arizona","Diamondbacks","ARI","regularseason",9,30,"bottom",7,6,13,"76","67","win","loss",FALSE,"2018-07-26 23:20:00+00",7,6,1
447,"69","51f0bb24-bb8a-4039-8b66-119f165e70ac","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","51f0bb24-bb8a-4039-8b66-119f165e70ac","mlb-2017-cle-tex-2017-04-5-1905","2c14a8f0-577f-490f-9186-cc3742412d1c","Texas","Texas","Rangers","TEX","c5fefa38-a256-43fe-8147-008c0f8c2f15","Cleveland","Cleveland","Indians","CLE","regularseason",9,0,"end",6,9,15,"69","96","loss","win",TRUE,"2017-04-06 05:05:00+00",6,9,1
448,"14","1b17a9aa-5760-45ac-a05c-8a02e970c4b9","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","20a19ea7-c80e-41aa-9934-6aea465e869c","mlb-2017-kc-tex-2017-04-21-1905","2c14a8f0-577f-490f-9186-cc3742412d1c","Texas","Texas","Rangers","TEX","8a72ea07-afce-4907-9e6a-13b3f4e9d378","Kansas City","Kansas City","Royals","KC","regularseason",5,0,"top",4,1,5,"41","14","win","loss",FALSE,"2017-04-22 05:05:00+00",6,2,1
449,"73","ceaf407f-e88a-4912-89c9-cb2fa3121675","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","508f7fd8-a4a0-4047-a60d-3e9e7f1eebb0","2016","202b6aa6-75fb-4227-b23e-79fce73bde37","mlb-2016-chw-phi-2016-09-20-1905","94acb560-6d9c-4b89-a32c-7fb817ad7aa7","Philadelphia","Philadelphia","Phillies","PHI","8572e355-63b6-440c-8cb0-8ef52144b993","Chi. White Sox","Chicago","White Sox","CHW","regularseason",7,0,"top",7,3,10,"73","37","win","loss",FALSE,"2016-09-21 04:05:00+00",7,6,1
450,"03","891d630d-aa1f-45d1-a550-d256d5f9a6a8","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","d30f753a-d838-4ecc-a19a-e25aa3388bd2","mlb-2017-sd-la-2017-04-4-1910","f53d7ed3-1ebe-4e02-979d-6e51c0f5fb18","LA Dodgers","Los Angeles","Dodgers","LA","418391e8-4725-420d-9303-bd1736c59d7a","San Diego","San Diego","Padres","SD","regularseason",3,30,"bottom",0,3,3,"03","30","loss","win",FALSE,"2017-04-05 07:10:00+00",0,4,1
451,"59","ce3c919f-44d8-4589-adc5-0dec395eb52e","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","cd21e0f6-e159-4ad1-b287-fd0f4321079e","mlb-2018-col-tex-2018-06-15-1905","2c14a8f0-577f-490f-9186-cc3742412d1c","Texas","Texas","Rangers","TEX","0220ab72-3a17-4a65-8872-72454aeb828d","Colorado","Colorado","Rockies","COL","regularseason",9,30,"bottom",5,9,14,"59","95","loss","win",FALSE,"2018-06-16 05:05:00+00",5,9,1
